,test_loss,test_f1,test_prec,test_recall,train_positive_rate,pool_positive_rate,labeled_instances,iteration_time
0,0.342,0.0,0.0,0.0,0.2,0.106,60,383.529
1,0.352,0.0,0.0,0.0,0.162,0.106,80,385.542
2,0.34,0.124,0.119,0.133,0.19,0.106,100,392.159
3,0.316,0.327,0.362,0.313,0.225,0.105,120,388.074
4,0.412,0.385,0.349,0.463,0.286,0.103,140,396.37
5,0.247,0.572,0.639,0.529,0.319,0.101,160,390.895
6,0.208,0.641,0.698,0.594,0.322,0.1,180,414.176
7,0.204,0.683,0.764,0.624,0.34,0.099,200,406.099
8,0.176,0.766,0.823,0.72,0.358,0.096,240,402.21
9,0.197,0.739,0.727,0.78,0.386,0.093,280,407.155
10,0.155,0.817,0.812,0.822,0.391,0.091,320,406.541
11,0.154,0.82,0.827,0.816,0.411,0.087,360,418.927
12,0.151,0.826,0.826,0.827,0.41,0.085,400,409.87
13,0.142,0.834,0.839,0.831,0.425,0.081,440,426.807
14,0.141,0.84,0.861,0.821,0.427,0.078,480,432.568
15,0.152,0.848,0.83,0.871,0.429,0.075,520,437.084
16,0.144,0.842,0.83,0.855,0.429,0.073,560,418.923
17,0.147,0.846,0.829,0.864,0.428,0.07,600,430.142
18,0.151,0.844,0.832,0.857,0.419,0.068,640,435.774
19,0.145,0.854,0.841,0.87,0.418,0.066,680,430.194
20,0.143,0.844,0.841,0.849,0.404,0.065,720,441.625
21,0.145,0.844,0.828,0.862,0.389,0.064,760,450.028
22,0.152,0.85,0.839,0.862,0.376,0.064,800,437.574
23,0.149,0.856,0.857,0.857,0.367,0.063,840,471.668
24,0.145,0.858,0.851,0.865,0.357,0.062,880,455.124
25,0.152,0.856,0.854,0.859,0.345,0.062,920,467.372
26,0.154,0.853,0.844,0.862,0.339,0.061,960,464.668
27,0.156,0.852,0.832,0.875,0.339,0.059,1000,465.233
