,test_loss,test_f1,test_prec,test_recall,labeled_instances,orakle_instances,iteration_time,train_positive_rate,pool_positive_rate
0,0.383,0.346,0.509,0.275,200,200,359.084,0.107,0.107
1,0.291,0.492,0.61,0.421,240,220,405.654,0.159,0.105
2,0.275,0.587,0.707,0.518,276,238,409.647,0.199,0.103
3,0.227,0.735,0.85,0.656,316,258,407.407,0.24,0.099
4,0.197,0.771,0.815,0.737,356,278,414.381,0.276,0.096
5,0.195,0.767,0.903,0.669,396,298,409.749,0.293,0.093
6,0.189,0.794,0.866,0.738,436,318,419.609,0.317,0.09
7,0.17,0.817,0.88,0.77,476,338,413.974,0.337,0.086
8,0.153,0.839,0.91,0.78,516,358,429.57,0.345,0.084
9,0.142,0.833,0.876,0.794,556,378,427.094,0.358,0.08
10,0.151,0.845,0.902,0.798,596,398,428.71,0.367,0.077
11,0.142,0.86,0.899,0.825,636,418,442.117,0.377,0.074
12,0.134,0.858,0.896,0.824,676,438,427.257,0.383,0.07
13,0.145,0.846,0.873,0.823,716,458,451.268,0.389,0.067
14,0.119,0.876,0.898,0.858,756,478,438.906,0.393,0.064
15,0.123,0.877,0.915,0.843,796,498,447.17,0.395,0.061
16,0.125,0.88,0.901,0.86,836,518,453.838,0.401,0.057
17,0.118,0.883,0.917,0.852,876,538,459.5,0.405,0.054
18,0.127,0.878,0.907,0.851,916,558,459.794,0.408,0.05
19,0.2,0.757,0.755,0.856,956,578,453.891,0.408,0.047
20,0.115,0.886,0.904,0.87,996,598,461.043,0.405,0.045
